Date,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max)(kg),Hospital Names,Temperature(C),Temperature(F)
1995-11-19,1995,25 Jumaada al-THaany 1416 A.H,Holiday,weekend,,islamabad,33.718,73.0718,capital,Egyptian Embassy,foreign,high,closed,,foreigner,,14,15,,60,2,0.0,,15.835,60.503
2000-11-06,2000,10 SHa`baan 1421 A.H,Working Day,,,karachi,24.9918,66.9911,sindh,office of Nawa-e-Waqt,office building,low,closed,,media,,,3,,3,1,0.0,,23.77,74.786
2002-05-08,2002,25 safar 1423 A.H,Working Day,,7:45 AM,karachi,24.9918,66.9911,sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,hotel,medium,closed,,foreigner,christian,13,15,20,40,1,2.5,['jinnah postgraduate medical center  civil hospital karachi pn shifa'],31.46,88.628
2002-06-14,2002,3 Raby` al-THaany 1423 A.H,Working Day,,11:10:00 AM,karachi,24.9918,66.9911,sindh,US Consulate Civil Lines Area ,foreign,high,closed,,foreigner,christian,,12,,51,1,0.0,,31.43,88.574
2003-07-04,2003,4 Jumaada al-awal 1424 A.H,Working Day,,,quetta,30.2095,67.0182,balochistan,Imambargah MeCongy Road Quetta,religious,medium,closed,during Friday prayer,religious,shiite,44,47,,65,1,0.0,"['cmh quettacivil hospital  bol', ' medical complex']",33.12,91.616
2003-12-25,2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,christmas/birthday of quaid-e-azam,"1:40:00 PM,1:42:00 PM",rawalpindi,33.6058,73.0437,punjab,Jhanda Chichi area rawalpindi ,attack on Convoy,low,open,president's/chief of army staff convoy passing from there,military,,16,18,,50,2,30.0,['district headquarters hospital'],9.445,49.001
2004-02-28,2004,8 MuHarram 1425 A.H,Working Day,,,rawalpindi,33.6058,73.0437,punjab,Yadgar-i-Hussaini in Satellite Town,religious,medium,closed,maghrib prayer was in process,religious,shiite,,1,3,4,1,0.0,,15.275,59.495
2004-05-07,2004,18 Raby` al-awal 1425 A.H,Working Day,,"1:20:00,1:17:00 PM",karachi,24.9918,66.9911,sindh,KarachiShia mosque Sindh Madrassatul Islam,religious,medium,closed,Friday prayer was in progress,religious,shiite,14,15,96,200,1,2.0,['civil hospital'],33.86,92.948
2004-05-31,2004,,Working Day,,evening,karachi,24.9918,66.9911,sindh,Imambargah off M.A Jinnah road near Numaish intersection,religious,medium,closed,,religious,shiite,16,18,,35,1,0.0,"['civil hospital', 'liaquat national hospital', 'jinnah postgraduate medical center']",31.605,88.889
2004-06-03,2004,15 Raby` al-THaany 1425 A.H,Working Day,,,waziristan,32.9746,70.1456,fata,checkpost in north waziristan-close to Afghanistan border,military,high,open,,military,,,2,,2,1,0.0,,27.18,80.924
